,"('video_name', '')","('diapo', '')",ypredict
0,Test_pour_AFPA,8,1.0
1,Test_pour_AFPA,9,1.0
2,Test_pour_AFPA,10,0.0
3,Test_pour_AFPA,11,1.0
4,Test_pour_AFPA,17,0.0
5,Video_1,8,1.0
6,Video_1,9,1.0
7,Video_1,10,1.0
8,Video_1,11,1.0
9,Video_1,17,1.0
10,WIN_20210323_19_17_40_Pro,8,1.0
11,WIN_20210323_19_17_40_Pro,9,1.0
12,WIN_20210323_19_17_40_Pro,10,1.0
13,WIN_20210323_19_17_40_Pro,11,1.0
14,WIN_20210323_19_17_40_Pro,17,0.0
15,WIN_20210329_10_16_02_Pro,8,1.0
16,WIN_20210329_10_16_02_Pro,9,1.0
17,WIN_20210329_10_16_02_Pro,10,1.0
18,WIN_20210329_10_16_02_Pro,11,1.0
19,WIN_20210329_10_16_02_Pro,17,1.0
20,WIN_20210330_13_10_29_Pro,8,1.0
21,WIN_20210330_13_10_29_Pro,9,1.0
22,WIN_20210330_13_10_29_Pro,10,1.0
23,WIN_20210330_13_10_29_Pro,11,1.0
24,WIN_20210330_13_10_29_Pro,17,0.0
25,WIN_20210331_21_22_52_Pro,8,1.0
26,WIN_20210331_21_22_52_Pro,9,1.0
27,WIN_20210331_21_22_52_Pro,10,1.0
28,WIN_20210331_21_22_52_Pro,11,1.0
29,WIN_20210331_21_22_52_Pro,17,1.0
30,WIN_20210402_14_27_50_Pro,8,0.0
31,WIN_20210402_14_27_50_Pro,9,0.0
32,WIN_20210402_14_27_50_Pro,10,2.0
33,WIN_20210402_14_27_50_Pro,11,2.0
34,WIN_20210402_14_27_50_Pro,17,0.0
35,WIN_20210402_19_04_53_Pro,8,1.0
36,WIN_20210402_19_04_53_Pro,9,1.0
37,WIN_20210402_19_04_53_Pro,10,1.0
38,WIN_20210402_19_04_53_Pro,11,0.0
39,WIN_20210402_19_04_53_Pro,17,1.0
40,WIN_20210403_18_49_15_Pro,8,0.0
41,WIN_20210403_18_49_15_Pro,9,1.0
42,WIN_20210403_18_49_15_Pro,10,1.0
43,WIN_20210403_18_49_15_Pro,11,1.0
44,WIN_20210403_18_49_15_Pro,17,0.0
45,WIN_20210404_10_58_27_Pro,8,1.0
46,WIN_20210404_10_58_27_Pro,9,1.0
47,WIN_20210404_10_58_27_Pro,10,1.0
48,WIN_20210404_10_58_27_Pro,11,1.0
49,WIN_20210404_10_58_27_Pro,17,1.0
50,WIN_20210404_21_41_12_Pro,8,0.0
51,WIN_20210404_21_41_12_Pro,9,0.0
52,WIN_20210404_21_41_12_Pro,10,0.0
53,WIN_20210404_21_41_12_Pro,11,1.0
54,WIN_20210404_21_41_12_Pro,17,0.0
55,WIN_20210405_15_09_16_Pro,8,0.0
56,WIN_20210405_15_09_16_Pro,9,0.0
57,WIN_20210405_15_09_16_Pro,10,0.0
58,WIN_20210405_15_09_16_Pro,11,0.0
59,WIN_20210405_15_09_16_Pro,17,0.0
60,WIN_20210406_15_06_15_Pro,8,0.0
61,WIN_20210406_15_06_15_Pro,9,0.0
62,WIN_20210406_15_06_15_Pro,10,0.0
63,WIN_20210406_15_06_15_Pro,11,0.0
64,WIN_20210406_15_06_15_Pro,17,0.0
65,WIN_20210406_18_35_52_Pro,8,0.0
66,WIN_20210406_18_35_52_Pro,9,1.0
67,WIN_20210406_18_35_52_Pro,10,0.0
68,WIN_20210406_18_35_52_Pro,11,0.0
69,WIN_20210406_18_35_52_Pro,17,0.0
70,WIN_20210406_18_49_10_Pro,8,0.0
71,WIN_20210406_18_49_10_Pro,9,1.0
72,WIN_20210406_18_49_10_Pro,10,0.0
73,WIN_20210406_18_49_10_Pro,11,0.0
74,WIN_20210406_18_49_10_Pro,17,1.0
75,WIN_20210406_21_05_52_Pro,8,0.0
76,WIN_20210406_21_05_52_Pro,9,0.0
77,WIN_20210406_21_05_52_Pro,10,1.0
78,WIN_20210406_21_05_52_Pro,11,0.0
79,WIN_20210406_21_05_52_Pro,17,0.0
80,WIN_20210407_09_04_05_Pro,8,0.0
81,WIN_20210407_09_04_05_Pro,9,0.0
82,WIN_20210407_09_04_05_Pro,10,1.0
83,WIN_20210407_09_04_05_Pro,11,0.0
84,WIN_20210407_09_04_05_Pro,17,0.0
85,WIN_20210407_14_54_56_Pro_edit2,8,0.0
86,WIN_20210407_14_54_56_Pro_edit2,9,1.0
87,WIN_20210407_14_54_56_Pro_edit2,10,1.0
88,WIN_20210407_14_54_56_Pro_edit2,11,1.0
89,WIN_20210407_14_54_56_Pro_edit2,17,0.0
90,WIN_20210408_11_48_58_Pro,8,0.0
91,WIN_20210408_11_48_58_Pro,9,1.0
92,WIN_20210408_11_48_58_Pro,10,1.0
93,WIN_20210408_11_48_58_Pro,11,1.0
94,WIN_20210408_11_48_58_Pro,17,1.0
95,WIN_20210408_14_00_44_Pro,8,0.0
