,video_name,predict_0,predict_1,predict_2
0,Test_pour_AFPA,0.4350672184453179,0.1971842565138647,0.36774852504081745
1,Video_1,0.5636047274764008,0.4210986360502969,0.015296636473302233
2,WIN_20210323_19_17_40_Pro,0.5520106543610395,0.39575713056483774,0.052232215074122706
3,WIN_20210329_10_16_02_Pro,0.45380976768191716,0.21305900937095107,0.33313122294713177
4,WIN_20210330_13_10_29_Pro,0.007154744658611007,0.47300419926254955,0.5198410560788395
5,WIN_20210331_21_22_52_Pro,0.45380976768191716,0.21305900937095107,0.33313122294713177
6,WIN_20210402_14_27_50_Pro,0.15174285614697863,0.10144502172552058,0.7468121221275008
7,WIN_20210402_19_04_53_Pro,0.001140627623760824,0.020069091086645945,0.9787902812895932
8,WIN_20210403_18_49_15_Pro,0.47344491384098814,0.0007352165452107374,0.5258198696138011
9,WIN_20210404_10_58_27_Pro,0.22641971229631386,0.7727831498700354,0.0007971378336506913
10,WIN_20210404_21_41_12_Pro,0.5046708209434864,0.01568841223691133,0.47964076681960227
11,WIN_20210405_15_09_16_Pro,0.31457231111258577,0.6591254275455037,0.026302261341910396
12,WIN_20210406_15_06_15_Pro,0.2617427448535922,0.07139598612393075,0.666861269022477
13,WIN_20210406_18_35_52_Pro,0.048299333801417606,0.9289607960215577,0.02273987017702477
14,WIN_20210406_18_49_10_Pro,0.03920030302716285,0.9121326260586883,0.048667070914148715
15,WIN_20210406_21_05_52_Pro,0.7767444269977477,0.19748046317337267,0.025775109828879678
16,WIN_20210407_09_04_05_Pro,0.456173477553416,0.06695124511549978,0.4768752773310842
17,WIN_20210407_14_54_56_Pro_edit2,0.6999610125159086,0.01730278370307095,0.2827362037810205
18,WIN_20210408_11_48_58_Pro,0.04158148203335541,0.4389008538983966,0.5195176640682481
19,WIN_20210408_14_00_44_Pro,0.9445965241234214,0.011021793683342393,0.04438168219323625
20,WIN_20210408_14_02_19_Pro,0.5429869407673374,0.037726168632584114,0.41928689060007845
21,WIN_20210408_14_11_32_Pro,0.19267375191228686,0.7231622969490077,0.08416395113870549
22,WIN_20210408_15_20_51_Pro,0.6221921784434884,0.36154942831723624,0.016258393239275422
23,WIN_20210408_16_04_32_Pro,0.9789252804287407,0.020591823216953863,0.00048289635430538
24,WIN_20210409_10_26_11_Pro,0.31457231111258577,0.6591254275455037,0.026302261341910396
25,WIN_20210413_15_38_01_Pro,0.5755904951925862,0.3842088595150361,0.04020064529237786
26,WIN_20210414_06_24_52_Pro,0.37957131815434625,0.5412658767909672,0.07916280505468654
27,WIN_20210415_15_41_24_Pro,0.7232784457797184,0.25188300672759234,0.024838547492689114
28,WIN_20210416_08_06_54_Pro,0.9866801458339334,0.00870375811109284,0.004616096054973833
29,WIN_20210417_14_53_12_Pro,0.7489737553607896,0.23505382277151654,0.015972421867693955
