,video_name,diapo,ypredict
78,WIN_20210402_19_04_53_Pro,10,1.0
79,WIN_20210402_19_04_53_Pro,11,1.0
80,WIN_20210413_15_38_01_Pro,8,1.0
81,WIN_20210413_15_38_01_Pro,9,0.0
82,WIN_20210413_15_38_01_Pro,10,0.0
83,WIN_20210413_15_38_01_Pro,11,0.0
84,WIN_20210416_08_06_54_Pro,8,1.0
85,WIN_20210416_08_06_54_Pro,9,2.0
86,WIN_20210416_08_06_54_Pro,10,1.0
87,WIN_20210416_08_06_54_Pro,11,1.0
88,WIN_20210406_15_06_15_Pro,8,1.0
89,WIN_20210406_15_06_15_Pro,9,1.0
90,WIN_20210406_15_06_15_Pro,10,1.0
91,WIN_20210406_15_06_15_Pro,11,1.0
92,WIN_20210403_18_49_15_Pro,8,1.0
93,WIN_20210403_18_49_15_Pro,9,1.0
94,WIN_20210403_18_49_15_Pro,10,1.0
95,WIN_20210403_18_49_15_Pro,11,1.0
96,WIN_20210407_14_54_56_Pro_edit2,8,0.0
97,WIN_20210407_14_54_56_Pro_edit2,9,0.0
98,WIN_20210407_14_54_56_Pro_edit2,10,0.0
99,WIN_20210407_14_54_56_Pro_edit2,11,0.0
100,WIN_20210323_19_17_40_Pro,8,1.0
101,WIN_20210323_19_17_40_Pro,9,0.0
102,WIN_20210323_19_17_40_Pro,10,1.0
103,WIN_20210323_19_17_40_Pro,11,1.0
104,WIN_20210331_21_22_52_Pro,8,0.0
105,WIN_20210331_21_22_52_Pro,9,0.0
106,WIN_20210331_21_22_52_Pro,10,1.0
107,WIN_20210331_21_22_52_Pro,11,1.0
108,WIN_20210408_14_11_32_Pro,8,0.0
109,WIN_20210408_14_11_32_Pro,9,2.0
110,WIN_20210408_14_11_32_Pro,10,2.0
111,WIN_20210408_14_11_32_Pro,11,2.0
112,WIN_20210406_18_35_52_Pro,8,0.0
113,WIN_20210406_18_35_52_Pro,9,0.0
114,WIN_20210406_18_35_52_Pro,10,1.0
115,WIN_20210406_18_35_52_Pro,11,0.0
116,Test_pour_AFPA,8,1.0
117,Test_pour_AFPA,9,1.0
118,Test_pour_AFPA,10,0.0
119,Test_pour_AFPA,11,0.0
120,WIN_20210407_09_04_05_Pro,8,0.0
121,WIN_20210407_09_04_05_Pro,9,0.0
122,WIN_20210407_09_04_05_Pro,10,1.0
123,WIN_20210407_09_04_05_Pro,11,1.0
