,video_name,diapo,ypredict
164,WIN_20210408_14_11_32_Pro,11,1.0
165,WIN_20210408_14_11_32_Pro,12,0.0
166,WIN_20210408_14_11_32_Pro,17,0.0
167,WIN_20210408_14_11_32_Pro,18,0.0
168,WIN_20210408_15_20_51_Pro,1,0.0
169,WIN_20210408_15_20_51_Pro,8,0.0
170,WIN_20210408_15_20_51_Pro,9,0.0
171,WIN_20210408_15_20_51_Pro,10,1.0
172,WIN_20210408_15_20_51_Pro,11,0.0
173,WIN_20210408_15_20_51_Pro,12,0.0
174,WIN_20210408_15_20_51_Pro,17,0.0
175,WIN_20210408_15_20_51_Pro,18,0.0
176,WIN_20210408_16_04_32_Pro,1,1.0
177,WIN_20210408_16_04_32_Pro,8,1.0
178,WIN_20210408_16_04_32_Pro,9,0.0
179,WIN_20210408_16_04_32_Pro,10,1.0
180,WIN_20210408_16_04_32_Pro,11,0.0
181,WIN_20210408_16_04_32_Pro,12,0.0
182,WIN_20210408_16_04_32_Pro,17,0.0
183,WIN_20210408_16_04_32_Pro,18,2.0
184,WIN_20210409_10_26_11_Pro,1,1.0
185,WIN_20210409_10_26_11_Pro,8,0.0
186,WIN_20210409_10_26_11_Pro,9,1.0
187,WIN_20210409_10_26_11_Pro,10,0.0
188,WIN_20210409_10_26_11_Pro,11,0.0
189,WIN_20210409_10_26_11_Pro,12,0.0
190,WIN_20210409_10_26_11_Pro,17,1.0
191,WIN_20210409_10_26_11_Pro,18,1.0
192,WIN_20210413_15_38_01_Pro,1,0.0
193,WIN_20210413_15_38_01_Pro,8,0.0
194,WIN_20210413_15_38_01_Pro,9,0.0
195,WIN_20210413_15_38_01_Pro,10,0.0
196,WIN_20210413_15_38_01_Pro,11,1.0
197,WIN_20210413_15_38_01_Pro,12,1.0
198,WIN_20210413_15_38_01_Pro,17,0.0
199,WIN_20210413_15_38_01_Pro,18,1.0
200,WIN_20210414_06_24_52_Pro,1,1.0
201,WIN_20210414_06_24_52_Pro,8,0.0
202,WIN_20210414_06_24_52_Pro,9,0.0
203,WIN_20210414_06_24_52_Pro,10,0.0
204,WIN_20210414_06_24_52_Pro,11,0.0
205,WIN_20210414_06_24_52_Pro,12,1.0
206,WIN_20210414_06_24_52_Pro,17,0.0
207,WIN_20210414_06_24_52_Pro,18,1.0
208,WIN_20210415_15_41_24_Pro,1,0.0
209,WIN_20210415_15_41_24_Pro,8,1.0
210,WIN_20210415_15_41_24_Pro,9,0.0
211,WIN_20210415_15_41_24_Pro,10,0.0
212,WIN_20210415_15_41_24_Pro,11,1.0
213,WIN_20210415_15_41_24_Pro,12,0.0
214,WIN_20210415_15_41_24_Pro,17,0.0
215,WIN_20210415_15_41_24_Pro,18,1.0
216,WIN_20210416_08_06_54_Pro,1,1.0
217,WIN_20210416_08_06_54_Pro,8,1.0
218,WIN_20210416_08_06_54_Pro,9,1.0
219,WIN_20210416_08_06_54_Pro,10,1.0
220,WIN_20210416_08_06_54_Pro,11,0.0
221,WIN_20210416_08_06_54_Pro,12,1.0
222,WIN_20210416_08_06_54_Pro,17,1.0
223,WIN_20210416_08_06_54_Pro,18,1.0
224,WIN_20210417_14_53_12_Pro,1,0.0
225,WIN_20210417_14_53_12_Pro,8,0.0
226,WIN_20210417_14_53_12_Pro,9,0.0
227,WIN_20210417_14_53_12_Pro,10,0.0
228,WIN_20210417_14_53_12_Pro,11,0.0
229,WIN_20210417_14_53_12_Pro,12,0.0
230,WIN_20210417_14_53_12_Pro,17,0.0
231,WIN_20210417_14_53_12_Pro,18,1.0
