,video_name,stress_global_predict_0,stress_global_predict_1,stress_global_predict_2
0,Test_pour_AFPA,0.03900490008921794,0.4563154253828063,0.5046796745279759
1,Video_1,0.49805570474160327,0.2720355516321119,0.2299087436262848
2,WIN_20210323_19_17_40_Pro,0.4933621032411278,0.31408504278563265,0.19255285397323957
3,WIN_20210329_10_16_02_Pro,0.3307591476725872,0.34104264259837036,0.3281982097290425
4,WIN_20210330_13_10_29_Pro,0.012433481467953948,0.3704911385100495,0.6170753800219966
5,WIN_20210331_21_22_52_Pro,0.34296852114839055,0.3800362643580938,0.2769952144935157
6,WIN_20210402_14_27_50_Pro,0.29526338471548,0.3952896994105334,0.30944691587398654
7,WIN_20210402_19_04_53_Pro,0.4059904204564105,0.3811717847773624,0.212837794766227
8,WIN_20210403_18_49_15_Pro,0.38489749314616883,0.40236553212111786,0.2127369747327133
9,WIN_20210404_10_58_27_Pro,0.43222484506038533,0.3656263704391403,0.20214878450047424
10,WIN_20210404_21_41_12_Pro,0.38766050006379693,0.3930373827630833,0.2193021171731197
11,WIN_20210405_15_09_16_Pro,0.5039307616665812,0.19792840649401788,0.2981408318394008
12,WIN_20210406_15_06_15_Pro,0.5164467598060866,0.2763266997490725,0.20722654044484087
13,WIN_20210406_18_35_52_Pro,0.41751937351131196,0.30302089614129707,0.27945973034739097
14,WIN_20210406_18_49_10_Pro,0.5021591922804505,0.17241384163021778,0.32542696608933175
15,WIN_20210406_21_05_52_Pro,0.5194973426716581,0.2953700194234476,0.18513263790489431
16,WIN_20210407_09_04_05_Pro,0.3740937250019418,0.4406712803093044,0.1852349946887537
17,WIN_20210407_14_54_56_Pro_edit2,0.3992868488175051,0.38456460619672317,0.2161485449857717
18,WIN_20210408_11_48_58_Pro,0.23874840699135616,0.6039631035812721,0.15728848942737178
19,WIN_20210408_14_00_44_Pro,0.4004756482733632,0.38155517736580535,0.21796917436083157
20,WIN_20210408_14_02_19_Pro,0.44261100879250653,0.3368999528328327,0.22048903837466075
21,WIN_20210408_14_11_32_Pro,0.43083966854235217,0.34346464548845157,0.22569568596919637
22,WIN_20210408_15_20_51_Pro,0.458838619735035,0.32865330623589034,0.2125080740290746
23,WIN_20210408_16_04_32_Pro,0.41230472772685467,0.3907881807375815,0.19690709153556388
24,WIN_20210409_10_26_11_Pro,0.5038962012875283,0.19922808731537026,0.2968757113971014
25,WIN_20210413_15_38_01_Pro,0.4791905019306638,0.2913287153471089,0.2294807827222273
26,WIN_20210414_06_24_52_Pro,0.3219931338920813,0.23685261804895621,0.4411542480589624
27,WIN_20210415_15_41_24_Pro,0.4778434178859549,0.2631655237923388,0.25899105832170616
28,WIN_20210416_08_06_54_Pro,0.4426515961723772,0.321569710712627,0.23577869311499586
29,WIN_20210417_14_53_12_Pro,0.4806415007669361,0.2676157564790112,0.2517427427540527
